pattern_ud;rule;n;passed;failed;pass_rate
aux:pass;rule_S1;45;45;0;1.0
aux:pass;rule_S2;45;45;0;1.0
aux:pass;rule_S3;45;45;0;1.0
aux:pass;rule_S4;45;45;0;1.0
aux:pass;rule_S5;45;45;0;1.0
cop;rule_S1;127;127;0;1.0
cop;rule_S2;127;127;0;1.0
cop;rule_S3;127;127;0;1.0
cop;rule_S4;127;127;0;1.0
cop;rule_S5;127;127;0;1.0
modal+verb;rule_S1;7;7;0;1.0
modal+verb;rule_S2;7;7;0;1.0
modal+verb;rule_S3;7;7;0;1.0
modal+verb;rule_S4;7;7;0;1.0
modal+verb;rule_S5;7;7;0;1.0
verb+ccomp;rule_S1;25;25;0;1.0
verb+ccomp;rule_S2;25;25;0;1.0
verb+ccomp;rule_S3;25;25;0;1.0
verb+ccomp;rule_S4;25;25;0;1.0
verb+ccomp;rule_S5;25;25;0;1.0
verb+nary-split;rule_S1;78;78;0;1.0
verb+nary-split;rule_S2;78;78;0;1.0
verb+nary-split;rule_S3;78;78;0;1.0
verb+nary-split;rule_S4;78;78;0;1.0
verb+nary-split;rule_S5;78;78;0;1.0
verb+obj;rule_S1;131;131;0;1.0
verb+obj;rule_S2;131;131;0;1.0
verb+obj;rule_S3;131;131;0;1.0
verb+obj;rule_S4;131;131;0;1.0
verb+obj;rule_S5;131;131;0;1.0
verb+obj[+obl];rule_S1;36;36;0;1.0
verb+obj[+obl];rule_S2;36;36;0;1.0
verb+obj[+obl];rule_S3;36;19;17;0.5277777777777778
verb+obj[+obl];rule_S4;36;36;0;1.0
verb+obj[+obl];rule_S5;36;36;0;1.0
verb+obj[conj];rule_S1;18;18;0;1.0
verb+obj[conj];rule_S2;18;18;0;1.0
verb+obj[conj];rule_S3;18;18;0;1.0
verb+obj[conj];rule_S4;18;18;0;1.0
verb+obj[conj];rule_S5;18;18;0;1.0
verb+obj[coord];rule_S1;19;19;0;1.0
verb+obj[coord];rule_S2;19;19;0;1.0
verb+obj[coord];rule_S3;19;19;0;1.0
verb+obj[coord];rule_S4;19;19;0;1.0
verb+obj[coord];rule_S5;19;19;0;1.0
verb+obl;rule_S1;46;46;0;1.0
verb+obl;rule_S2;46;46;0;1.0
verb+obl;rule_S3;46;46;0;1.0
verb+obl;rule_S4;46;46;0;1.0
verb+obl;rule_S5;46;46;0;1.0
verb+xcomp;rule_S1;61;61;0;1.0
verb+xcomp;rule_S2;61;61;0;1.0
verb+xcomp;rule_S3;61;61;0;1.0
verb+xcomp;rule_S4;61;61;0;1.0
verb+xcomp;rule_S5;61;61;0;1.0
