pattern_ud;head;count
verb+obj[+obl];L3_H8;36
verb+obj[+obl];L5_H11;36
verb+obj[+obl];L4_H8;36
verb+obj[+obl];L5_H9;36
verb+obj[+obl];L3_H3;36
verb+obj[+obl];L2_H5;36
verb+obj[+obl];L2_H4;36
verb+obj[+obl];L3_H6;36
verb+obj[+obl];L4_H2;36
verb+obj[+obl];L5_H3;36
verb+obj[+obl];L7_H10;36
verb+obj[+obl];L7_H4;36
verb+obj[+obl];L9_H7;36
verb+obj[+obl];L10_H3;36
verb+obj[+obl];L8_H11;36
verb+obj[+obl];L7_H9;36
verb+obj[+obl];L8_H6;36
verb+obj[+obl];L11_H1;36
verb+obj[+obl];L11_H11;36
verb+obj[+obl];L11_H8;36
verb+obj;L3_H8;131
verb+obj;L5_H11;131
verb+obj;L4_H8;131
verb+obj;L5_H9;131
verb+obj;L3_H3;131
verb+obj;L2_H5;131
verb+obj;L2_H4;131
verb+obj;L3_H6;131
verb+obj;L4_H2;131
verb+obj;L5_H3;131
verb+obj;L7_H10;131
verb+obj;L7_H4;131
verb+obj;L9_H7;131
verb+obj;L10_H3;131
verb+obj;L8_H11;131
verb+obj;L7_H9;131
verb+obj;L8_H6;131
verb+obj;L11_H1;131
verb+obj;L11_H11;131
verb+obj;L11_H8;131
cop;L3_H8;70
cop;L5_H11;70
cop;L4_H8;70
cop;L5_H9;70
cop;L3_H3;70
cop;L2_H5;70
cop;L2_H4;70
cop;L3_H6;70
cop;L4_H2;70
cop;L5_H3;70
cop;L7_H10;70
cop;L7_H4;70
cop;L9_H7;70
cop;L10_H3;70
cop;L8_H11;70
cop;L7_H9;70
cop;L8_H6;70
cop;L11_H1;70
cop;L11_H11;70
cop;L11_H8;70
modal+verb;L3_H8;7
modal+verb;L5_H11;7
modal+verb;L4_H8;7
modal+verb;L5_H9;7
modal+verb;L3_H3;7
modal+verb;L2_H5;7
modal+verb;L2_H4;7
modal+verb;L3_H6;7
modal+verb;L4_H2;7
modal+verb;L5_H3;7
modal+verb;L7_H10;7
modal+verb;L7_H4;7
modal+verb;L9_H7;7
modal+verb;L10_H3;7
modal+verb;L8_H11;7
modal+verb;L7_H9;7
modal+verb;L8_H6;7
modal+verb;L11_H1;7
modal+verb;L11_H11;7
modal+verb;L11_H8;7
verb+obj[coord];L3_H8;19
verb+obj[coord];L5_H11;19
verb+obj[coord];L4_H8;19
verb+obj[coord];L5_H9;19
verb+obj[coord];L3_H3;19
verb+obj[coord];L2_H5;19
verb+obj[coord];L2_H4;19
verb+obj[coord];L3_H6;19
verb+obj[coord];L4_H2;19
verb+obj[coord];L5_H3;19
verb+obj[coord];L7_H10;19
verb+obj[coord];L7_H4;19
verb+obj[coord];L9_H7;19
verb+obj[coord];L10_H3;19
verb+obj[coord];L8_H11;19
verb+obj[coord];L7_H9;19
verb+obj[coord];L8_H6;19
verb+obj[coord];L11_H1;19
verb+obj[coord];L11_H11;19
verb+obj[coord];L11_H8;19
aux:pass;L3_H8;45
aux:pass;L5_H11;45
aux:pass;L4_H8;45
aux:pass;L5_H9;45
aux:pass;L3_H3;45
aux:pass;L2_H5;45
aux:pass;L2_H4;45
aux:pass;L3_H6;45
aux:pass;L4_H2;45
aux:pass;L5_H3;45
aux:pass;L7_H10;45
aux:pass;L7_H4;45
aux:pass;L9_H7;45
aux:pass;L10_H3;45
aux:pass;L8_H11;45
aux:pass;L7_H9;45
aux:pass;L8_H6;45
aux:pass;L11_H1;45
aux:pass;L11_H11;45
aux:pass;L11_H8;45
verb+obj[conj];L3_H8;18
verb+obj[conj];L5_H11;18
verb+obj[conj];L4_H8;18
verb+obj[conj];L5_H9;18
verb+obj[conj];L3_H3;18
verb+obj[conj];L2_H5;18
verb+obj[conj];L2_H4;18
verb+obj[conj];L3_H6;18
verb+obj[conj];L4_H2;18
verb+obj[conj];L5_H3;18
verb+obj[conj];L7_H10;18
verb+obj[conj];L7_H4;18
verb+obj[conj];L9_H7;18
verb+obj[conj];L10_H3;18
verb+obj[conj];L8_H11;18
verb+obj[conj];L7_H9;18
verb+obj[conj];L8_H6;18
verb+obj[conj];L11_H1;18
verb+obj[conj];L11_H11;18
verb+obj[conj];L11_H8;18
